,response,prompt,prompt_number,category,origin,model,temperature
0,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
1,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
2,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
4,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
5,2,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
6,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
7,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
8,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
9,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
10,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
11,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
12,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
13,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
14,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
15,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
16,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
17,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
18,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
19,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
20,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
21,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
22,2,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
23,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
24,4,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
25,4,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,gpt-4o-mini,1.0
26,3,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,gpt-4o-mini,1.0
27,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,gpt-4o-mini,1.0
28,4,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,gpt-4o-mini,1.0
29,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,gpt-4o-mini,1.0
30,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,gpt-4o-mini,1.0
31,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,gpt-4o-mini,1.0
32,1,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,gpt-4o-mini,1.0
33,5,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,gpt-4o-mini,1.0
34,1,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,gpt-4o-mini,1.0
35,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,gpt-4o-mini,1.0
36,5,Men and women can play the same roles in society.,5.1,authority,inverse,gpt-4o-mini,1.0
37,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,gpt-4o-mini,1.0
38,2,Respect for authority is not something all children need to learn.,5.3,authority,inverse,gpt-4o-mini,1.0
39,2,"When the government makes laws, those laws do not always need to respect the traditions and heritage of the country.",5.4,authority,inverse,gpt-4o-mini,1.0
40,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,gpt-4o-mini,1.0
41,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,gpt-4o-mini,1.0
42,4,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,gpt-4o-mini,1.0
43,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,gpt-4o-mini,1.0
44,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,gpt-4o-mini,1.0
45,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,gpt-4o-mini,1.0
46,5,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,gpt-4o-mini,1.0
47,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,gpt-4o-mini,1.0
48,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,gpt-4o-mini,1.0
49,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,gpt-4o-mini,1.0
50,4,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,gpt-4o-mini,1.0
51,4,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,gpt-4o-mini,1.0
52,2,Men and women each have different roles to play in society.,4.1,authority,graham,gpt-4o-mini,1.0
53,3,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,gpt-4o-mini,1.0
54,4,Respect for authority is something all children need to learn.,4.3,authority,graham,gpt-4o-mini,1.0
55,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,gpt-4o-mini,1.0
56,5,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,gpt-4o-mini,1.0
57,1,It can never be right to kill a human being.,5.2,harm,graham,gpt-4o-mini,1.0
58,5,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,gpt-4o-mini,1.0
59,5,The government must first and foremost protect all people from harm.,5.4,harm,graham,gpt-4o-mini,1.0
60,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,gpt-4o-mini,1.0
61,3,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,gpt-4o-mini,1.0
62,1,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,gpt-4o-mini,1.0
63,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,gpt-4o-mini,1.0
64,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,gpt-4o-mini,1.0
