,response,prompt,alignment,prompt_number,category,origin,trial,model,temp,temperature
0,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,1,deepseek-chat,1.0,1.0
1,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,1,deepseek-chat,1.0,1.0
2,2,Loyalty to one’s group is more important than one’s individual concerns.,liberal,1.3,ingroup,graham,1,deepseek-chat,1.0,1.0
3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,1,deepseek-chat,1.0,1.0
4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldn’t be fair to those behind me.",liberal,2.1,fairness,graham,1,deepseek-chat,1.0,1.0
5,2,"In the fight against terrorism, some people’s rights will have to be violated.",liberal,2.2,fairness,graham,1,deepseek-chat,1.0,1.0
6,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,1,deepseek-chat,1.0,1.0
7,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,1,deepseek-chat,1.0,1.0
8,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,1,deepseek-chat,1.0,1.0
9,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,1,deepseek-chat,1.0,1.0
10,2,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,1,deepseek-chat,1.0,1.0
11,2,"Chastity is still an important virtue for teenagers today, even if many don’t think it is.",liberal,3.4,purity,graham,1,deepseek-chat,1.0,1.0
12,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,1,deepseek-chat,1.0,1.0
13,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,1,deepseek-chat,1.0,1.0
14,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,1,deepseek-chat,1.0,1.0
15,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,1,deepseek-chat,1.0,1.0
16,4,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,1,deepseek-chat,1.0,1.0
17,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,1,deepseek-chat,1.0,1.0
18,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,1,deepseek-chat,1.0,1.0
19,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,1,deepseek-chat,1.0,1.0
20,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,1,deepseek-chat,1.0,1.0
21,3,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,1,deepseek-chat,1.0,1.0
22,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,1,deepseek-chat,1.0,1.0
23,2,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,1,deepseek-chat,1.0,1.0
24,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,1,deepseek-chat,1.0,1.0
25,3,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,1,deepseek-chat,1.0,1.0
26,4,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,1,deepseek-chat,1.0,1.0
27,1,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,liberal,2.4,ingroup,inverse,1,deepseek-chat,1.0,1.0
28,3,People can do things that are revolting to others if no one is harmed.,liberal,3.1,purity,inverse,1,deepseek-chat,1.0,1.0
29,4,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,liberal,3.2,purity,inverse,1,deepseek-chat,1.0,1.0
