,response,response_adjusted,prompt,alignment,prompt_number,category,origin,model,temperature
0,1,1,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,gpt-4o-mini,1.0
1,1,1,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,gpt-4o-mini,1.0
2,1,1,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,gpt-4o-mini,1.0
3,2,2,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,gpt-4o-mini,1.0
4,5,5,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,gpt-4o-mini,1.0
5,1,1,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,gpt-4o-mini,1.0
6,5,5,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,gpt-4o-mini,1.0
7,5,5,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,gpt-4o-mini,1.0
8,4,4,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,gpt-4o-mini,1.0
9,1,1,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,gpt-4o-mini,1.0
10,1,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,gpt-4o-mini,1.0
11,2,2,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,gpt-4o-mini,1.0
12,0,0,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,gpt-4o-mini,1.0
13,2,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,gpt-4o-mini,1.0
14,2,2,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,gpt-4o-mini,1.0
15,2,2,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,gpt-4o-mini,1.0
16,5,5,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,gpt-4o-mini,1.0
17,2,2,It can never be right to kill a human being.,liberal,5.2,harm,graham,gpt-4o-mini,1.0
18,5,5,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,gpt-4o-mini,1.0
19,5,5,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,gpt-4o-mini,1.0
20,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,gpt-4o-mini,1.0
21,1,4,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,gpt-4o-mini,1.0
