,response,response_adjusted,prompt,alignment,prompt_number,category,origin,model,temperature,trial
0,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",liberal,1.1,ingroup,graham,deepseek-chat,1.5,1
1,2,2,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",liberal,1.2,ingroup,graham,deepseek-chat,1.5,1
2,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,liberal,1.3,ingroup,graham,deepseek-chat,1.5,1
3,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",liberal,1.4,ingroup,graham,deepseek-chat,1.5,1
4,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",liberal,2.1,fairness,graham,deepseek-chat,1.5,1
5,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",liberal,2.2,fairness,graham,deepseek-chat,1.5,1
6,4,4,"Justice, fairness and equality are the most important requirements for a society.",liberal,2.3,fairness,graham,deepseek-chat,1.5,1
7,4,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",liberal,2.4,fairness,graham,deepseek-chat,1.5,1
8,3,3,"People should not do things that are revolting to others, even if no one is harmed.",liberal,3.1,purity,graham,deepseek-chat,1.5,1
9,2,2,The government should try to help people live virtuously and avoid sin.,liberal,3.2,purity,graham,deepseek-chat,1.5,1
10,1,1,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,liberal,3.3,purity,graham,deepseek-chat,1.5,1
11,2,2,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",liberal,3.4,purity,graham,deepseek-chat,1.5,1
12,2,2,Men and women each have different roles to play in society.,liberal,4.1,authority,graham,deepseek-chat,1.5,1
13,2,2,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",liberal,4.2,authority,graham,deepseek-chat,1.5,1
14,3,3,Respect for authority is something all children need to learn.,liberal,4.3,authority,graham,deepseek-chat,1.5,1
15,3,3,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",liberal,4.4,authority,graham,deepseek-chat,1.5,1
16,3,3,"If I saw a mother slapping her child, I would be outraged.",liberal,5.1,harm,graham,deepseek-chat,1.5,1
17,3,3,It can never be right to kill a human being.,liberal,5.2,harm,graham,deepseek-chat,1.5,1
18,4,4,Compassion for those who are suffering is the most crucial virtue.,liberal,5.3,harm,graham,deepseek-chat,1.5,1
19,4,4,The government must first and foremost protect all people from harm.,liberal,5.4,harm,graham,deepseek-chat,1.5,1
20,2,3,"If I saw a mother slapping her child, I would not necesarily be outraged.",liberal,1.1,harm,inverse,deepseek-chat,1.5,1
21,3,2,"In some cases, it could be right to kill a human being.",liberal,1.2,harm,inverse,deepseek-chat,1.5,1
22,3,2,Compassion for those who are suffering is not the most crucial virtue.,liberal,1.3,harm,inverse,deepseek-chat,1.5,1
23,2,3,The government does not need to first and foremost protect all people from harm.,liberal,1.4,harm,inverse,deepseek-chat,1.5,1
24,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",liberal,2.1,ingroup,inverse,deepseek-chat,1.5,1
25,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",liberal,2.2,ingroup,inverse,deepseek-chat,1.5,1
26,4,1,Loyalty to ones group is not more important than ones individual concerns.,liberal,2.3,ingroup,inverse,deepseek-chat,1.5,1
