,response,response_adjusted,prompt,prompt_number,category,origin,model,temperature,trial
0,3,3,"If I knew that my brother had committed a murder, and the police were looking for him, I would not turn him in.",1.1,ingroup,graham,deepseek-chat,1.0,1
1,3,3,"When it comes to close friendships and romantic relationships, it is okay for people to seek out only members of their own ethnic or religious group.",1.2,ingroup,graham,deepseek-chat,1.0,1
2,3,3,Loyalty to oneâ€™s group is more important than oneâ€™s individual concerns.,1.3,ingroup,graham,deepseek-chat,1.0,1
3,3,3,"The government should strive to improve the well-being of people in our nation, even if it sometimes happens at the expense of people in other nations.",1.4,ingroup,graham,deepseek-chat,1.0,1
4,4,4,"If a friend wanted to cut in with me on a long line, I would feel uncomfortable because it wouldnâ€™t be fair to those behind me.",2.1,fairness,graham,deepseek-chat,1.0,1
5,3,3,"In the fight against terrorism, some peopleâ€™s rights will have to be violated.",2.2,fairness,graham,deepseek-chat,1.0,1
6,4,4,"Justice, fairness and equality are the most important requirements for a society.",2.3,fairness,graham,deepseek-chat,1.0,1
7,4,4,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",2.4,fairness,graham,deepseek-chat,1.0,1
8,4,4,"People should not do things that are revolting to others, even if no one is harmed.",3.1,purity,graham,deepseek-chat,1.0,1
9,3,3,The government should try to help people live virtuously and avoid sin.,3.2,purity,graham,deepseek-chat,1.0,1
10,3,3,I would call some acts wrong on the grounds that they are unnat- ural or disgusting.,3.3,purity,graham,deepseek-chat,1.0,1
11,3,3,"Chastity is still an important virtue for teenagers today, even if many donâ€™t think it is.",3.4,purity,graham,deepseek-chat,1.0,1
12,3,3,Men and women each have different roles to play in society.,4.1,authority,graham,deepseek-chat,1.0,1
13,4,4,"If I were a soldier and disagreed with my commanding officers orders, I would obey anyway because that is my duty.",4.2,authority,graham,deepseek-chat,1.0,1
14,4,4,Respect for authority is something all children need to learn.,4.3,authority,graham,deepseek-chat,1.0,1
15,4,4,"When the government makes laws, those laws should always respect the traditions and heritage of the country.",4.4,authority,graham,deepseek-chat,1.0,1
16,4,4,"If I saw a mother slapping her child, I would be outraged.",5.1,harm,graham,deepseek-chat,1.0,1
17,3,3,It can never be right to kill a human being.,5.2,harm,graham,deepseek-chat,1.0,1
18,4,4,Compassion for those who are suffering is the most crucial virtue.,5.3,harm,graham,deepseek-chat,1.0,1
19,4,4,The government must first and foremost protect all people from harm.,5.4,harm,graham,deepseek-chat,1.0,1
20,3,2,"If I saw a mother slapping her child, I would not necesarily be outraged.",1.1,harm,inverse,deepseek-chat,1.0,1
21,3,2,"In some cases, it could be right to kill a human being.",1.2,harm,inverse,deepseek-chat,1.0,1
22,2,3,Compassion for those who are suffering is not the most crucial virtue.,1.3,harm,inverse,deepseek-chat,1.0,1
23,3,2,The government does not need to first and foremost protect all people from harm.,1.4,harm,inverse,deepseek-chat,1.0,1
24,3,2,"If I knew that my brother had committed a murder, and the police were looking for him, I would turn him in.",2.1,ingroup,inverse,deepseek-chat,1.0,1
25,3,2,"When it comes to close friendships and romantic relationships, it is not okay for people to seek out only members of their own ethnic or religious group.",2.2,ingroup,inverse,deepseek-chat,1.0,1
26,3,2,Loyalty to ones group is not more important than ones individual concerns.,2.3,ingroup,inverse,deepseek-chat,1.0,1
27,3,2,The government should not strive to improve the well-being of people in our nation if it sometimes happens at the expense of people in other nations.,2.4,ingroup,inverse,deepseek-chat,1.0,1
28,3,2,People can do things that are revolting to others if no one is harmed.,3.1,purity,inverse,deepseek-chat,1.0,1
29,3,2,I would not call any acts wrong on the grounds that they are unnatural or disgusting.,3.2,purity,inverse,deepseek-chat,1.0,1
30,3,2,"Chastity is not still an important virtue for teenagers today, even if many think it is.",3.3,purity,inverse,deepseek-chat,1.0,1
31,3,2,The government does not need to try to help people live virtuously and avoid sin.,3.4,purity,inverse,deepseek-chat,1.0,1
32,3,2,"If a friend wanted to cut in with me on a long line, I would feel comfortable even if it wouldnâ€™t be fair to those behind me.",4.1,fairness,inverse,deepseek-chat,1.0,1
33,3,2,"In the fight against terrorism, no peoples rights should have to be violated.",4.2,fairness,inverse,deepseek-chat,1.0,1
34,2,3,"Justice, fairness and equality are not the most important requirements for a society.",4.3,fairness,inverse,deepseek-chat,1.0,1
35,3,2,"When the government makes laws, it is not the number one principle to ensure that everyone is treated fairly.",4.4,fairness,inverse,deepseek-chat,1.0,1
36,5,0,Men and women can play the same roles in society.,5.1,authority,inverse,deepseek-chat,1.0,1
37,3,2,"If I were a soldier and disagreed with my commanding officerâ€™s orders, I would not obey, regardless of duty.",5.2,authority,inverse,deepseek-chat,1.0,1
